id,Account Created At(same for all rows),status created_at,Fav_cont,retweeted_count,reply_to_status,reply_to_screen,quote,text
https://twitter.com/AliceMarieFree/status/1355218331884781570,Fri Jun 22 01:49:07 +0000 2018,2021-01-29 18:16:43,0,5,repNone,,True,RT @RhondaPeters: Prison reform is needed and must continue to be a bipartisan agenda. These federal sentences for first time offenders for…
https://twitter.com/AliceMarieFree/status/1355172847967236102,Fri Jun 22 01:49:07 +0000 2018,2021-01-29 15:15:59,69,15,repNone,,False,"Was pleased to speak with @19thnews about my promise to reform our criminal justice system. More work to be done, to get involved visit @ActionForGood_  @standtogether #BelieveInPeople   https://t.co/RHcrm9fYJy"
https://twitter.com/AliceMarieFree/status/1352023283164733440,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:40:44,0,8,repNone,,False,"RT @ActionForGood_: With the announcement of the Trump administration’s final acts of clemency, @AliceMarieFree called it “a day to honor m…"
https://twitter.com/AliceMarieFree/status/1352015140921765888,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:23,64,5,rep1352015138119970816,AliceMarieFree,False,Today is just more fuel for the fire in my heart to continue to fight for those who have no voice.
https://twitter.com/AliceMarieFree/status/1352015138119970816,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:22,53,6,rep1352015136752623617,AliceMarieFree,False,"While we celebrate today, let us not forget we still have laws in place that put nonviolent people in prison for life, and there remain thousands behind bars today, who have paid their debt to society and who deserve a second chance to return home."
https://twitter.com/AliceMarieFree/status/1352015136752623617,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:22,9,1,rep1352015135544639493,AliceMarieFree,False,"While some cases may get more attention because they feed controversy and division, commutations like these are important and meaningful, especially one day after honoring the great Martin Luther King, Jr."
https://twitter.com/AliceMarieFree/status/1352015135544639493,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:22,11,2,rep1352015134374432776,AliceMarieFree,False,"I tried to look at Michael Harris the man. His commitment to self-improvement, good work &amp; mentoring others in prison, and his desire to be a positive force for good once released reminded me a lot of myself. I feel strongly that this man has earned and deserves a second chance."
https://twitter.com/AliceMarieFree/status/1352015134374432776,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:21,12,2,rep1352015133543964672,AliceMarieFree,False,"Our justice system should honor and reward rehabilitation and that is what happened for many today, a recognition that no matter what mistakes we have made, we all can earn a second chance."
https://twitter.com/AliceMarieFree/status/1352015133543964672,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:21,10,1,rep1352015132562481153,AliceMarieFree,False,"Men like Ferrell Scott and Michael Pelletier faced a lifetime behind prison bars for nonviolent drug offenses. Yes, they made mistakes in their past, but who hasn’t? And, despite that fate, these men committed themselves to a righteous path of redemption."
https://twitter.com/AliceMarieFree/status/1352015132562481153,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:21,11,0,rep1352015131635494913,AliceMarieFree,False,I feel blessed to have been put in a position to be the voice for the voiceless and to work every day to keep my promise to the men and women I left behind.
https://twitter.com/AliceMarieFree/status/1352015131635494913,Fri Jun 22 01:49:07 +0000 2018,2021-01-20 22:08:21,84,14,repNone,,False,"Re: final acts of clemency granted by the Trump administration:   Today is a day to honor mercy &amp; justice, a day to celebrate the second chance given to many deserving individuals and reunification with loved ones.  @ActionForGood_ https://t.co/kuzzQdscnt"
https://twitter.com/AliceMarieFree/status/1341773975131590656,Fri Jun 22 01:49:07 +0000 2018,2020-12-23 15:53:39,153,13,repNone,,False,These precious moments.... My 2 1/2 yr old grandtwins wishing my daughter a happy birthday this past Sunday 🥰 https://t.co/BNp7jYClH0
https://twitter.com/AliceMarieFree/status/1341729075413434368,Fri Jun 22 01:49:07 +0000 2018,2020-12-23 12:55:14,0,754,repNone,,False,"RT @weldon_angelos: Thank you, ⁦@realDonaldTrump⁩ for giving me a second chance at life. You’ll never regret it! We need more clemencies. K…"
https://twitter.com/AliceMarieFree/status/1339800236424761344,Fri Jun 22 01:49:07 +0000 2018,2020-12-18 05:10:43,0,6,repNone,,False,RT @MarcALevin: A privilege to join @IAGovernor @IALtGov @AliceMarieFree @EdyHaney @iamjamesdavis now as we discuss landmark accomplishment…
https://twitter.com/AliceMarieFree/status/1338845052395786245,Fri Jun 22 01:49:07 +0000 2018,2020-12-15 13:55:09,1357,97,repNone,,True,🙏🏼🙏🏼🙏🏼 https://t.co/fkliHq43Sq
https://twitter.com/AliceMarieFree/status/1336043397241581569,Fri Jun 22 01:49:07 +0000 2018,2020-12-07 20:22:23,0,23,repNone,,False,"RT @swin24: This got to me: @AliceMarieFree, on one reason why she’s been directly appealing to Trump and the WH on commutations/pardons th…"
https://twitter.com/AliceMarieFree/status/1320870103769112576,Fri Jun 22 01:49:07 +0000 2018,2020-10-26 23:29:07,101,12,repNone,,True,Loved interviewing with you Amy!!! https://t.co/rby4jiTWGc
https://twitter.com/AliceMarieFree/status/1320500586396241921,Fri Jun 22 01:49:07 +0000 2018,2020-10-25 23:00:48,0,17,repNone,,False,RT @ReporterGarriss: Here’s my video from this powerful moment. Church members say they prayed for his release. #CurtisMcDonald   @FOX13Mem…
https://twitter.com/AliceMarieFree/status/1320499979278938112,Fri Jun 22 01:49:07 +0000 2018,2020-10-25 22:58:23,302,58,repNone,,True,So grateful for Curtis’ reunion with both his biological and church family!!! Thank you President @realDonaldTrump for blessing him with clemency. https://t.co/m95yGRIpmK
https://twitter.com/AliceMarieFree/status/1319073518089285632,Fri Jun 22 01:49:07 +0000 2018,2020-10-22 00:30:08,14997,873,repNone,,False,I would like to wish a very HAPPY BIRTHDAY to my dear friend @KimKardashian.  She met with @realDonaldTrump to discuss my freedom on my birthday.  And today 5 more people were granted clemency on her birthday.  There’s something special about birthdays!   Love you Kim! 😘 https://t.co/l7XS4md8H8
https://twitter.com/AliceMarieFree/status/1319028786420121602,Fri Jun 22 01:49:07 +0000 2018,2020-10-21 21:32:23,7200,2009,repNone,,False,The @realDonaldTrump administration just granted clemency to 5 incredibly deserving people.  Lenora Logan  Rashella Reed  Charles Tanner  John Bolen  Curtis McDonald  They all have served their time and have learned from their mistakes.  Enjoy Freedom. God bless you all. ❤️
https://twitter.com/AliceMarieFree/status/1318974363186696196,Fri Jun 22 01:49:07 +0000 2018,2020-10-21 17:56:08,84,13,repNone,,True,Bravo 🙌🏽👏🏽🙌🏽 https://t.co/wXnL9IEwNX
https://twitter.com/AliceMarieFree/status/1318352514069180417,Fri Jun 22 01:49:07 +0000 2018,2020-10-20 00:45:07,177,22,repNone,,True,Thank you Rhonda! I feel very blessed and honored to receive this award. https://t.co/7LTJnxfeaB
