User ID,User Name,Followers,Following,Follower/Following Ratio,Total Status,Retweet Count,Total Favourites
70355553,001Danish,3399,1063,3.198,662,364,4758
9.90E+17,0thFromOurStar,12950,63,205.556,538,43,1470
1043939304,0x0000EBFE,805,941,0.855,615,503,696
217999280,0xbharath,1751,1081,1.62,877,337,2172
2464832922,0xdekster,2300,361,6.371,992,243,2600
2500703018,0xh3nry,305,676,0.451,616,489,5078
7.93E+17,0xRadi,466,736,0.633,702,180,4146
309202928,0xshyam,270,598,0.452,653,359,1289
1.00E+18,0xtina,298,319,0.934,867,606,11923
1.06E+18,0_hobbies,162,1222,0.133,737,334,11185
2615733620,1000DegreesX,151,141,1.071,505,44,111
437763875,100Security,913,2537,0.36,524,2,352
269513390,121giving,3283,3344,0.982,617,78,95
3005258262,138_das,68,42,1.619,620,292,298
2160172507,13kamilkhan,2542,146,17.411,586,176,2165
347276428,13pt,8242,606,13.601,779,189,2811
1886411240,14Swathi,1778,60,29.633,562,257,780
557249278,18Bodaji,343,476,0.721,749,293,388
2659458883,1974pawansai,5117,259,19.757,559,297,301
2341792303,19thCenturyShop,1482,1549,0.957,684,45,56
3391867888,19thmilecapsol,246,623,0.395,840,474,249
90208506,1Dan_Kazama,496,1600,0.31,504,10,30
9.90E+17,1HamroSikkim,145,20,7.25,505,44,69
2801484595,1ImRaina,486,1497,0.325,517,0,0
619351454,1mastersaleem,14961,261,57.322,912,201,186
9.11E+17,1MeenuG,531,166,3.199,532,299,79
284094874,1nvalid,411,961,0.428,689,312,384
729358783,1sakhtar,2835,2005,1.414,893,582,41
8.92E+17,1SaritaKaushik,3013,227,13.273,948,556,872
7.80E+17,207teacherguy,972,1031,0.943,826,78,1214
113580693,23septemberrrr,5476,13,421.231,827,86,842
193964794,24namratha,211,292,0.723,751,262,32
69520588,2ankitad,1931,235,8.217,818,183,1291
1.06E+18,2below0film,2229,2036,1.095,589,102,50414
4581635832,2Point0movie,155472,10,15547.2,515,203,28
2383916357,321Foundation,993,793,1.252,924,283,580
1.27E+18,3ballssport,2010,4082,0.492,891,76,1379
2852855478,3RakeshMishra,1441,91,15.835,993,725,98
284965772,3utechnovidzzz,71,539,0.132,806,10,5
396314722,40MILLIONBUCKS,18781,28779,0.653,579,126,31
7.82E+17,4DNucleome,3501,190,18.426,506,381,86
71972355,4non_Hunter,2083,227,9.176,969,284,1280
8.33E+17,4theLoveofPath,1140,815,1.399,836,145,2327
9.37E+17,4th_Ind_Rev,1190,1069,1.113,802,268,1193
1.11E+18,4WeddingsOnHulu,3589,32,112.156,853,154,1062
2579349637,4WorkerRights,3060,579,5.285,676,185,111
1.02E+18,501NotOut,1360,4996,0.272,905,467,4411
1452156612,5aelo,18171,449,40.47,617,175,1820
470826415,5h1vang,513,806,0.636,837,254,912
2376987217,5onyaHorton,294,299,0.983,920,528,274
8.12E+17,5SmL9e5kpyuincH,847,716,1.183,864,0,39869
1.21E+18,609402,2413,2278,1.059,679,1,4969
1.07E+18,60_decibels,1146,350,3.274,673,245,483
3168963298,62f60ca138454a3,109,286,0.381,819,714,695
1.08E+18,63Jbk14zFFjBg4O,329,326,1.009,658,328,6422
1.09E+18,6thFromOurStar,10787,36,299.639,533,20,1263
7.72E+17,777kabra,128,298,0.43,623,105,731
9.81E+17,90sWWE,434395,93,4670.914,839,0,678
228696053,9Harsh9_Shah,519,897,0.579,791,144,106
2181860676,9KDesigns,1913,226,8.465,586,32,49
45804321,9nehak,267,328,0.814,834,243,152
1.13E+18,9Vl7xme2JEEzHKX,11561,11674,0.99,829,1,195750
2225235190,a2barea,725,188,3.856,696,329,328
3059594835,A2BData,1322,4819,0.274,762,117,129
7.85E+17,a4akash_,882,436,2.023,739,221,2036
170287462,aadeokar,479,676,0.709,514,283,2790
3198505603,aaisforaarti,325,1259,0.258,737,172,4541
75507058,AakankshaNavalS,407,371,1.097,636,122,4
7.48E+17,aakansha_kapoor,170,90,1.889,508,37,144
1317158792,aakashadesara,3370,835,4.036,913,85,3367
8.14E+17,AalochakDada,10593,1120,9.458,901,158,577
