User ID,User Name,Followers,Following,Follower/Following Ratio,Total Status,Retweet Count,Total Favourites
id2927553798,007Robinkoshy,91,151,0.603,1139,319,576
id871286605813645315,0ddhawk,773,305,2.534,990,664,2777
id929819883273183234,0xD4ni,247,116,2.129,1455,131,733
id2842876486,0xdeadpool,975,238,4.097,981,850,2877
id303948032,0xdeeraf,298,1383,0.215,1539,1199,2756
id1106541930391982083,0xrudrapratap,2034,314,6.478,1042,362,2350
id47984283,1001inventions,345419,68,5079.691,1402,575,890
id3067049929,100sareepact,1139,164,6.945,964,94,210
id769560487055032321,105ankit,1886,5005,0.377,1291,33,5774
id2907076940,10MohamedLarbi,3476,209,16.632,1285,775,5159
id1096116362,10Piti,20724,926,22.38,1240,612,3574
id2813981915,14MinutesOfSaaS,5411,49,110.429,1477,1266,3437
id59383661,14_carbon,71,275,0.258,1266,729,11037
id1174633142,16Sreejesh,404668,215,1882.177,1607,418,4504
id1032371166298759168,1827marketing,2391,2775,0.862,1181,24,13712
id947054755,189Grace,4393,228,19.268,1330,298,1393
id395261800,18albertomp,547029,312,1753.298,1406,375,1366
id1073336054,19SCazorla,2162078,544,3974.408,1302,729,8377
id4870308293,1DebaratiSen,1331,230,5.787,1351,225,1167
id3031013996,1harleensethi,3058,76,40.237,1269,464,2182
id1114974258,1jamesbeattie,50424,1580,31.914,1658,487,67
id167721095,1lastBr3ath,1390,517,2.689,1427,880,4166
id1221730805082292224,1SportsInLive,924,80,11.55,1439,237,658
id543533194,21LVA,4062394,329,12347.702,1017,171,710
id3167128825,23heera_singh,62,144,0.431,6027,2598,13458
id2875427268,25mayAmar,419,1314,0.319,1146,834,5363
id799290692149202944,2OPLive,86,229,0.376,2554,85,3298
id1119334202,301Neha,188,234,0.803,1789,959,9680
id4035972494,31_Rekha,103,77,1.338,1474,552,611
id2612300912,323harvey,404,315,1.283,1183,840,1728
id470111547,3asm_,453,1316,0.344,1581,1208,566
id823798488446234624,3DQRofficial,4452,4957,0.898,1605,770,11859
id2361083388,3D_Genome,5293,244,21.693,1678,836,1
id2351868320,3gerardpiqueHQ,90791,56,1621.268,1132,560,260
id783182,3GS,2444,403,6.065,1256,383,5328
