user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
21LVA,246613260.0,6.779,2.883,4.548,644,173,191,24,34280.139,6193.149,1.412
3gerardpique,288182357.0,18.048,5.029,3.689,2238,513,225,287,96785.72,57446.632,4.348
79SemiFinalist,324022753.0,36.0,136.0,232.625,288,1088,1861,288,10135.375,1107817.25,36.0
7polly7,280597122.0,9.57,2.541,4.2,1024,188,336,76,1360.496,862.982,2.235
AADaddario,322703815.0,15.752,3.46,5.226,2158,391,554,211,23439.234,31561.613,3.638
AaronFinch5,304030564.0,19.164,4.763,4.351,2338,543,322,375,6626.754,1697.68,5.769
abbiemann1982,341808898.0,23.042,30.125,82.083,553,723,1970,282,702.48,22499.24,12.261
Abby_Lee_Miller,266284200.0,45.288,7.725,5.391,2672,309,248,167,7363.661,599.847,4.771
ABdeVilliers17,307068555.0,16.211,6.683,8.755,1767,548,858,40,46881.427,6199.5,1.739
acedtect,411807577.0,79.273,20.545,195.636,872,226,2152,113,2980.727,10444.182,10.273
Adamprice,347615645.0,52.111,50.074,17.222,1407,1352,465,402,17919.852,6927.333,14.889
adept_education,302618664.0,19.417,9.276,7.393,1864,705,621,159,14.367,5342.163,3.245
AdrienneTacke,193809798.0,24.538,8.519,43.556,957,230,1568,513,520.171,12633.268,14.25
AdvDali_Mpofu,202062844.0,24.171,66.543,1.0,846,2329,5,666,20290.229,51371.486,19.588
AdviceToWriters,335772619.0,464.286,0.0,0.0,3250,0,0,0,35962.0,7207.571,0.0
AfroFrias,308470930.0,136.5,561.75,75.75,546,2247,303,1017,1083.25,4922859.0,254.25
aftgomes,171530398.0,11.85,3.255,5.242,948,153,325,96,24345.037,3764.225,2.233
aguerosergiokun,307272548.0,22.01,6.81,8.5,2311,538,357,198,109237.695,23919.867,3.96
AhirShah,308499258.0,22.065,30.302,20.25,1015,1303,891,452,8482.277,189104.383,11.895
AidanSevers,147021340.0,107.333,68.5,365.167,644,411,2191,230,2953.167,21803.667,38.333
Alanis,353287404.0,11.845,3.415,3.357,1753,140,94,39,4812.311,1511.757,1.857
alanpeat,308143291.0,23.205,60.478,49.4,1021,1391,741,149,64.523,4450.341,8.278
alanwilkins22,230047975.0,15.5,48.906,36.188,496,1565,1158,362,15037.062,116711.75,11.312
AlexHales1,246170952.0,9.965,3.782,37.846,568,208,2460,66,4505.292,2567.708,2.062
alexia,349984385.0,21.0,9.8,39.75,84,49,159,32,1562.0,8716.4,8.0
alexisgallagher,403620626.0,40.769,7.833,201.923,530,94,2625,419,1019.462,19365.538,32.231
alizecornet,330952472.0,22.398,7.602,7.267,1971,631,625,161,4775.079,9366.775,2.597
alo_oficial,249546263.0,32.941,23.84,7.12,1680,1192,356,308,124866.49,25625.431,6.039
Amed_Rosario,130500546.0,31.674,19.025,6.514,1362,761,228,823,2780.152,1023.478,32.92
amweston,345363755.0,25.036,6.13,11.812,2103,282,815,60,24.048,3148.19,3.158
AnastaciaMusic,290174185.0,46.453,13.565,3.0,2462,624,81,1364,7877.63,89516.37,27.837
andrealeadsom,338351478.0,65.611,111.167,3.5,1181,2001,56,812,10245.333,60497.167,45.111
AndrewScheer,281560049.0,117.208,12.545,11.286,2813,276,158,456,52599.333,17318.875,22.8
AndrewYNg,289945249.0,10.737,2.094,2.635,1063,134,166,51,6346.255,8145.069,1.759
andy_matuschak,383617020.0,14.5,4.571,112.24,348,96,2806,199,2643.28,1054.08,7.96
andy_murray,374751424.0,16.283,3.857,15.933,1726,216,956,29,16136.101,16362.532,1.812
AngelaBarnes,302709050.0,55.818,38.545,201.0,614,424,2211,316,16034.636,220231.636,28.727
AngeliqueKerber,251784595.0,9.651,8.485,2.842,1052,857,162,51,8323.136,1962.673,1.645
anildash,414945885.0,53.5,321.75,433.75,214,1287,1735,586,15500.5,600993.5,146.5
AnnapurnaLiving,175164347.0,32.85,3.417,1.545,1314,82,17,44,160.732,48.0,2.933
Anna_Soubry,270639198.0,90.214,94.571,47.071,1263,1324,659,880,109622.143,154388.071,62.857
anton_chuvakin,378709799.0,17.611,68.778,93.667,317,1238,1686,154,565.111,50369.333,8.556
ArianaGrande,339541409.0,69.0,10.619,43.24,1932,223,1081,1063,7008983.464,846356.179,37.964
ariannahuff,344367259.0,128.5,63.75,11.267,2056,1020,169,233,21100.875,188763.312,14.562
ArleneFosterUK,278289705.0,27.446,29.304,2.217,1537,1641,51,467,6929.982,8694.232,8.648
asymco,314938632.0,71.5,189.333,280.0,429,1136,1680,271,3800.167,53574.0,45.167
Author_DDB,248493299.0,5.197,10.844,3.038,395,488,161,42,32.44,6532.619,2.0
AvrilLavigne,327115020.0,19.381,8.939,5.345,2035,733,294,143,94332.895,48990.867,3.405
AzharAli_,184597641.0,11.893,6.514,9.938,892,469,636,348,28419.354,4447.734,6.824
AzharMahmood11,307692084.0,19.851,9.94,9.696,1727,825,669,506,8897.42,1730.125,7.906
balletboy09,322906984.0,28.098,13.805,38.15,1152,566,1526,841,793.244,9322.22,20.512
balletrusse,348875707.0,24.966,5.738,8.254,2222,482,487,20,490.537,306.4,1.25
BarackObama,406864295.0,36.368,6.436,4.226,2764,354,131,123,2443208.169,473704.987,2.562
baratunde,406676774.0,76.471,84.118,28.294,1300,1430,481,866,17067.118,371634.176,50.941
Barnaby_Joyce,313621553.0,18.245,5.892,10.646,1934,383,873,35,570.651,1064.453,1.842
BBCRoryCJ,316577709.0,20.05,3.489,8.51,2025,321,851,37,187.991,1328.955,1.321
bchesky,378237908.0,6.947,9.901,21.737,660,901,1652,93,5268.231,16764.519,2.385
beccadax,358551553.0,11.24,84.44,31.96,281,2111,799,678,195.44,541419.92,27.12
BeckyFrancis7,260438770.0,8.422,48.125,11.167,379,2310,536,350,248.208,2277.542,7.447
BelindaBencic,177397309.0,11.61,6.519,3.939,894,352,130,366,6987.078,4608.545,5.719
BenBajarin,370774019.0,46.833,25.0,63.333,1124,600,1520,640,1311.25,13849.583,26.667
benshapiro,351155978.0,131.5,638.25,41.5,526,2553,166,1183,1248290.5,636257.0,295.75
benstokes38,282878220.0,17.229,5.634,9.537,1878,524,763,375,26404.202,4576.028,5.597
BernieSanders,289980368.0,138.167,33.647,12.6,2487,572,189,503,4856097.0,869995.056,29.588
betchaboy,408150441.0,37.0,10.933,53.781,1184,328,1721,119,427.281,30959.594,4.103
bgurley,402991365.0,25.758,22.788,49.636,850,752,1638,741,8114.364,7355.515,22.455
BILLBELLAMY,341432296.0,54.629,33.657,4.265,1912,1178,145,404,770.257,179929.2,12.242
BillClinton,214783940.0,9.283,2.016,2.341,919,127,103,170,124358.919,29911.071,2.615
BillGates,334127750.0,24.638,2.386,2.961,2858,198,151,163,103858.319,33333.75,2.86
Bill_Gross,334871106.0,29.338,3.826,12.189,2259,88,902,331,7795.936,3708.397,7.881
blakelively,173758659.0,3.6,1.333,2.5,72,8,20,14,102950.375,17821.375,2.333
BobBlackman,233125269.0,34.286,105.682,8.81,720,2325,185,356,6652.773,47861.864,16.952
BobbyJindal,354579885.0,34.621,5.161,2.571,3012,160,72,163,2479.609,1677.31,3.468
BorisJohnson,152077451.0,56.308,23.605,5.2,2196,897,156,173,423498.051,88059.308,4.676
bradlarson,369815689.0,10.628,9.6,13.438,999,912,1290,157,91.375,1197.99,2.804
BrettLee_58,259083920.0,22.877,19.863,4.35,1670,1450,87,995,23718.192,6506.562,14.014
brholland,357473383.0,49.133,61.529,87.938,737,1046,1407,364,182.529,115359.588,22.75
briankrebs,343814541.0,29.452,8.071,39.786,1237,339,1671,271,7134.023,18547.837,6.61
brianlightman,338321857.0,27.786,163.643,38.5,389,2291,539,796,232.143,84444.714,56.857
BRIANMBENDIS,357963920.0,94.182,139.273,60.364,1036,1532,664,593,10235.727,283462.273,53.909
brielarson,145603635.0,14.18,36.265,13.479,709,1777,647,668,341882.039,381801.098,14.522
britneyspears,357880345.0,24.889,5.661,16.245,2016,351,796,113,210556.446,60879.916,4.036
brooke,393576476.0,99.0,21.308,129.538,1287,277,1684,536,5013.154,102643.615,41.231
BrunoMars,317904776.0,21.857,4.646,5.055,2448,381,369,530,229421.393,86662.491,8.833
bryankramer,357429753.0,47.353,19.0,29.206,1610,646,993,107,294.618,458.735,4.28
BryceDHoward,131542229.0,26.09,5.592,7.091,1748,274,312,438,28209.104,10379.537,9.319
bsaeta,336671460.0,3.098,11.797,1.875,158,814,45,211,50.421,28658.329,3.517
CandiceBergenMP,231913797.0,19.0,47.83,3.31,874,2248,96,962,6215.319,15424.404,20.468
carlyraejepsen,342722949.0,24.609,9.12,5.583,2264,684,201,80,34561.874,25736.516,2.667
CaroGarcia,221924535.0,12.917,11.013,3.132,1240,859,119,192,4432.828,3082.717,3.765
CarolCampbell4,274307289.0,65.556,200.667,94.444,590,1806,850,888,7075.222,233427.111,98.667
carolinebreyley,345352402.0,8.219,63.406,29.719,263,2029,951,474,88.281,2479.156,15.29
CaroWozniacki,320211894.0,21.575,5.095,7.635,2287,428,481,88,26128.387,5527.981,2.514
Catriona_O,326264732.0,14.92,5.104,24.75,1119,342,1782,426,64.507,323.213,6.0
cdixon,404979120.0,21.158,16.864,19.468,1206,1113,915,120,2662.897,19444.485,3.429
