user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
007Robinkoshy,161606189.0,6.2,7.595,20.321,248,319,569,46,4.07,9266.982,2.421
0ddhawk,83430911.0,4.407,18.444,6.4,119,664,192,136,35.85,706.95,6.182
0xD4ni,69475490.0,13.1,3.97,17.795,524,131,694,128,56.35,3557.475,3.765
0xdeadpool,165813449.0,1.609,12.879,2.15,37,850,86,40,4.479,6781.301,1.481
0xdeeraf,273824045.0,1.833,27.25,2.375,11,1199,38,34,2.522,30223.543,1.889
0xrudrapratap,27341671.0,5.81,15.083,21.25,122,362,510,56,152.875,2828.542,2.8
1001inventions,334746513.0,5.418,6.686,2.283,661,575,121,74,33.811,70.742,1.85
100sareepact,154243684.0,33.579,6.714,14.5,638,94,232,36,33.333,20.792,3.273
105ankit,107684308.0,21.385,2.2,3.219,1112,33,103,281,40.981,249.0,12.773
10MohamedLarbi,163340907.0,2.672,10.764,5.082,155,775,249,75,109.107,18477.333,2.027
10Piti,221632523.0,4.662,6.725,2.714,373,612,152,73,145.621,2373.095,2.517
14MinutesOfSaaS,167308315.0,3.72,16.658,1.3,186,1266,13,118,22.763,2345.184,2.565
14_carbon,331665795.0,1.615,33.136,20.8,21,729,416,31,5.821,39248.0,2.818
16Sreejesh,219248014.0,9.5,5.887,5.6,855,418,308,116,1199.076,2126.185,2.829
1827marketing,45025359.0,48.095,2.4,2.909,1010,24,32,5,62.667,629.619,1.25
189Grace,227129428.0,8.759,3.772,3.899,727,298,269,29,24.776,13285.837,1.381
18albertomp,260798937.0,7.436,5.682,4.233,751,375,182,45,6724.087,2662.534,2.368
19SCazorla,222271832.0,6.0,8.379,1.722,486,729,31,46,7126.376,12040.753,1.769
1DebaratiSen,125639955.0,26.121,7.5,7.562,862,225,242,455,238.061,18363.788,14.219
1harleensethi,155627583.0,13.717,11.897,3.649,631,464,135,535,206.788,15317.904,15.286
1jamesbeattie,221031304.0,6.589,7.162,12.405,626,487,459,252,955.557,641.515,3.877
1lastBr3ath,300638325.0,2.603,11.733,5.738,151,880,350,77,16.074,5245.938,2.139
1SportsInLive,-121520.0,73.571,47.4,5.8,1030,237,29,6,481.786,544.143,3.0
21LVA,246613260.0,6.902,2.948,4.548,635,171,191,23,31884.735,6195.01,1.438
23heera_singh,150301949.0,9.0,866.0,235.5,9,2598,471,495,182.333,1155997.667,165.0
25mayAmar,165831662.0,2.964,16.68,5.939,83,834,196,141,2.593,3811.525,5.036
2illit_adab,271691263.0,1.333,3.667,5.5,4,11,11,5,110.0,89.0,2.5
2OPLive,100596075.0,10.917,3.269,33.186,393,85,1427,100,23.5,2059.196,4.762
301Neha,220875914.0,19.9,45.667,10.05,398,959,201,531,35.091,12524.955,26.55
31_Rekha,134043278.0,1.667,25.091,50.667,10,552,912,10,6.091,7100.364,1.25
323harvey,175144495.0,2.839,15.849,4.103,88,840,238,213,10.667,66846.712,4.532
3asm_,252855770.0,5.071,16.107,1.607,284,1208,45,21,5.156,6381.338,1.909
3DQRofficial,94752961.0,11.476,23.333,12.692,482,770,330,88,51.405,1162.119,3.385
3D_Genome,186661960.0,9.476,10.321,1.0,796,836,4,56,57.118,358.329,1.697
3gerardpiqueHQ,187172597.0,11.51,10.0,1.25,564,560,5,63,17884.22,18937.797,2.739
3GS,408015937.0,2.971,3.683,4.596,306,383,524,95,26.072,7513.42,2.111
3jDEmpnx9JbxJ8d,-11678815.0,39.111,67.889,73.667,352,611,663,324,59.889,79313.889,36.0
40k_Inquisitor,143117636.0,10.368,3.121,7.216,705,103,368,16,239.074,70.588,1.143
4b5f5f4b,259270035.0,1.633,7.629,2.545,80,801,84,54,6.047,3575.255,1.636
4ndyWalker,322108622.0,7.701,1.31,7.08,670,38,531,1,5.071,691.99,1.0
68Breno,246406467.0,5.338,6.452,7.286,363,471,357,13,123.593,1950.679,1.3
7FigurePerMonth,224679597.0,85.308,0.0,0.0,1109,0,0,0,0.462,0.769,0.0
7polly7,280597122.0,9.642,2.533,4.213,1022,190,337,75,1380.661,882.143,2.273
7rsKhetpal,141985219.0,31.615,36.583,9.5,411,439,76,22,5.0,531862.571,2.75
