User_name,RP3
1SaritaKaushik,0
AalochakDada,4
AbhaySChautala,6
aitcpriyanka,3
aitcsudip,1
ajendrasingh81,2
AkashMi78429048,7
AnandSharmaINC,382
AndhraPradeshCM,97
AnilsinghHisua,1
arunsaxena50,20
Ashokdhavaioff1,5
atul_deshkar,6
BALARAMPARMAR,4
BhaskarBJPOfc,0
boukensha5472,2
BRAHMIN_0052,729
BrijLal_IPS,77
b_kodiyeri,86
cameronks,151
COVIDLiverpool,42
CPSingh58592862,0
DcGurdaspur,2
DC_LOHARDAGA,48
DeepakjhaAAP,0
deepakranila,3
DmSambhal,230
DrHimanshu73,28
DrKhanukhaninc,0
DrRameshwarOra1,1
er_rahulrdx,14
FAODG,90
GaneshGINC,7
GautamGambhir,17
ghanendravarshn,7
GulzarSiddiqui_,0
HazzaBinZayed,1
Hindi_AP,2
hippopedoid,212
hunarhaat,36
iMahendradesai,1
ImVermaKashish,1
inamulhaquemuz,1
info_ysmisato,0
iYogeshRKadam,49
JAGADISHSAPKO11,0
KamleshDhanda1,0
Kathirawen,0
KDanishAli,11
KhabariMausi,2
khel_sandesh,0
kkrishnabharat,11
LhaKo7KXpIUS4MC,7
LisaStarrPhD,209
MacroCharts,94
Mahdi_2325,4
Mayawati,298
mila_carovska,0
Mohsen_Kadivar,326
MPDharmendraYdv,25
mphemantgodse,29
muntaqueemnoor,0
Namitha456,0
nirahua1,2
offofdrsp,7
pachouri_office,2
pankajpatelguru,0
ParagSharmaINC,20
PCzajkowski_,0
premnarayanmla,2
PsKalwaniya_,4
qHizfuJtq44fuSQ,117
RadheyShyamBJP,1
RajeshHon1,0
RGWayanadOffice,109
RjdSamastipur,10
RLangPackage,0
rosemovies_,38
RounakVyas15,0
sachin_rt,20
SamarRaj_,39
sandeepmangrola,2
santching,5
ShishirAazad,30
ShockandAweEnt,0
ShreeTV1,197
ShriPradeepJi,3
Strat_AI,34
sunnysarochbjym,0
TanayDeshkar2,5
TravelByIndiana,25
VaibhavIAS,3
Vairamuthu,2
Varadha90064366,1
VijaySethuOffl,17
vimshine,7
vishaltandel_,5
yuzu858,0
