User_name,Follower_count(F1),M4,RT3,RP3,Acquaintance_score
adotinthedark,62,0,72,3,137
AdrianMLevy,2085,0,801,9,2895
Ads64in,620,0,23,0,643
Adultjoks,19,0,76,0,95
AdvaitNemlekar,338,0,192,15,545
advantageperf,9390,0,56,0,9446
advocateghumman,1632,0,1017,0,2649
AdvocateSabita,188,0,532,3,723
aeetz06,111,0,1078,2,1191
AegisSchool,411,0,280,2,693
aehaque,673,0,714,3,1390
aelshemy16,731,0,99,2,832
AeroSquadra,11655,0,316,37,12008
afdhal_id,1426,0,28,0,1454
Affanyousuf9,551,0,680,2,1233
affiliatebiz,2949,0,278,0,3227
afgao,1489,1,756,9,2255
afzal_57,275922,0,5,71,275998
agarwaledu,15221,0,259,5,15485
agawley,1206,0,191,14,1411
agbrolo,1366,0,284,23,1673
agentinsolent,672,0,230,0,902
AgentPete,2891,0,79,0,2970
AgGenomicsGuy,432,0,391,29,852
AghaShaahidAli,34227,0,359,9,34595
agitzade,13670,0,19,3,13692
agnimitra2026,254,0,126,1,381
Agos_Daniella,1577,0,642,50,2269
AGraynor,28765,0,302,1,29068
Agustinporres,2497,0,810,5,3312
AhamedHassanMP,842,0,888,14,1744
ahiliyanat,248,0,596,3,847
ahishor,538,1,850,0,1389
AhluwaliaSaheb,148,0,727,6,881
ahmedmakda_am,71,0,139,76,286
AHPBA,3937,0,603,8,4548
Ahsanafaq22,148,0,629,3,780
AhujaReva,134,0,381,2,517
Ai4Youth,903,0,565,29,1497
AiglonCollege,1540,0,87,1,1628
AIgorithmIA,3270,0,247,47,3564
aikhwaja,20361,0,408,62,20831
AilleneRuby,11415,0,173,0,11588
AinedeSousa,11123,0,135,2,11260
ainhopia,273,0,1259,9,1541
airudit,579,0,837,4,1420
AishPaliwal,7199,0,139,44,7382
aisrao,1688,0,384,69,2141
aitreainichairm,1900,0,31,0,1931
aiu_athletics,5937,0,129,59,6125
AI_ilachinski,584,0,988,0,1572
ajaeybjp,25920,0,159,42,26121
ajai3830,336,0,60,0,396
ajanayak,367,0,163,13,543
ajaybharadwaj,560,0,259,9,828
ajayc47,730,0,239,3,972
ajayekal,441,0,23,6,470
Ajaygaurbjpfbd,1788,0,890,23,2701
ajayjamwalRSS,3165,0,818,0,3983
ajayPspeak,178,0,452,18,648
ajayr1993,332,0,1028,3,1363
ajaysamson,663,0,161,9,833
AjaySinghNegi,1094,0,1061,0,2155
ajay_shah,6808,0,6,0,6814
AJAZ_ALI_ANSARI,735,0,1067,0,1802
ajfoley,4018,0,460,2,4480
AjitaShashidhar,1838,0,206,2,2046
ajmizner,127,0,284,57,468
ajoydada,78,0,62,34,174
AjuVarghesee,647732,1,168,0,647901
akaGJS,966,0,975,4,1945
AkankshaSingh4,11470,0,229,7,11706
Akanksha_1009,616,0,341,18,975
akanshaarneja,3593,0,195,20,3808
akasha63,843,0,326,1,1170
akash_lightblue,979,0,24,4,1007
akasomeguy,5361,3,237,20,5621
akbardalai,651,0,301,100,1052
akc4karnal,2118,0,0,0,2118
AKGarg93,5689,0,573,11,6273
AkhilBansalKPMG,2413,0,605,9,3027
AkhilNasha,4742,1,166,117,5026
akhilreni_hs,3323,1,351,169,3844
Akjpatt,29454,0,212,0,29666
AKMetoikos,934,0,201,43,1178
akoserwal,317,0,510,9,836
akpk_in,212,0,795,2,1009
AKQA,91112,0,45,1,91158
akritita,298,0,348,10,656
AkritiTyagiNDTV,165,0,1035,1,1201
akrit_michael,783,0,103,31,917
akshaykomar,155,0,0,1,156
akshayprabhu_,233,0,503,16,752
akshayravi999,273,0,213,1,487
akshayxk,567,0,369,22,958
Akshhaya_R,89,0,710,12,811
AksshitWadhwa,385,0,55,2,442
aktiwaryssa,135,0,826,6,967
akujad,5847,0,616,5,6468
akumar2408,804,0,293,71,1168
alaamaliik,239,0,76,8,323
AlaapG,995,0,1147,1,2143
AlabedBana,290189,1,142,5,290337
alacon,1066,0,210,34,1310
alain_berset,157634,0,370,1,158005
alambains,316,0,1083,0,1399
alanfgates,6198,1,818,2,7019
AlankarSawai,10125,0,1126,0,11251
albertw,540,0,239,1,780
alcinojsilva,4607,0,937,1,5545
aldawood_ali,180,0,750,3,933
AlderweireldTob,703259,0,109,4,703372
AleAndooo,191,0,82,1,274
AleAparicio13,231,0,73,6,310
aleemeram53,203,0,240,62,505
AleksibCSGO,63898,0,164,10,64072
alena_scuba,296,0,906,0,1202
Alescent,6694,0,682,0,7376
alexa99,1356634,1,79,47,1356761
AlexaGrasso,48469,0,754,0,49223
AlexanderD_Beck,18962,0,265,0,19227
alexanderlhayes,255,0,340,59,654
alexheid,15581,0,805,1,16387
alexiwobi,839256,0,68,0,839324
alexmiller73,4962,0,122,1,5085
alexpersat,908,0,762,68,1738
AlexWelcing,493,0,165,38,696
AlexWhitcomb,128336,0,328,86,128750
Alex_Salikov,315,0,1185,1,1501
Alex_Scdr,452,0,381,0,833
alex_seryj,657,0,709,0,1366
Alex__Muller,123,0,126,7,256
alfamale1516,107,0,1071,0,1178
alfiaar1,279,0,865,37,1181
algolytics,1676,0,348,1,2025
AlgoRhythmm,365,0,1536,0,1901
ali01,15721,0,286,433,16440
AliceMarieFree,31005,0,715,10,31730
ALIMCOHQ,1226,0,1076,2,2304
alimelloul,494,0,407,6,907
AlinB_ManUtd,102,0,513,2,617
AlishaSofficial,20929,0,161,13,21103
AlisonCRollins,2259,0,275,45,2579
AlisonGopnik,12382,0,408,11,12801
aliyyashelley,4403,0,565,1,4969
Ali_a6165,60963,0,541,2,61506
ali_a_zaidi,11916,0,980,70,12966
AljiraTweets,617,0,76,0,693
allanao,3313,1,295,41,3650
AlliaAR,5415,0,178,0,5593
alliance4ai,1048,0,432,861,2341
AllieHilmer,1614,0,485,1,2100
AllstarsFC_PFH,3911,0,155,18,4084
allthingsAyesha,768,0,385,5,1158
alma_perdida5,687,0,283,2,972
almousawi,588,0,479,16,1083
alokcreovate,1110,0,50,5,1165
AlokKrishnan,120,0,46,0,166
alonamarie,1857,1,289,117,2264
alonso_inaki,2759,0,508,1,3268
altlawforum,5044,1,168,45,5258
AltnokBesim,4331,0,495,29,4855
AlvandSalehi,1401,1,668,1,2071
AlvaroNegredo9,721454,0,291,1,721746
alvin_vista,217,0,51,27,295
AlwaysJani,86775,1,126,33,86935
Always_A_Hit,893,0,528,1,1422
alyciakaback,6944,0,224,0,7168
Alyonakapoor,2006,0,988,0,2994
AlyssaMendonsa,830,0,219,16,1065
AlzahraKhawla,716,0,1150,0,1866
AMacOSTP,2394,1,810,98,3303
amandajparkes,2502,0,483,1,2986
amandeepbet,119,0,928,1,1048
amankhan77,395,0,345,1,741
Aman_Naimat,1589,0,474,3,2066
Aman_sal,1174,0,995,55,2224
AmarAmar36,297,0,823,3,1123
amarmohile,398,0,170,0,568
Amar_Shukla_inc,289,0,368,0,657
Amazingauto5758,1323,0,912,8,2243
ambassey,2185,0,572,9,2766
AmbaVashishth,53,0,0,3,56
ambikamahajan,1687,0,53,1,1741
ambjr,209,0,593,2,804
AmbujaMall,771,0,284,0,1055
ameeyajnik,1482,0,998,1,2481
AmerShoib,528,0,0,1,529
Amey_Ghatge,438,0,79,0,517
AMGSMadrid,398,0,409,4,811
Amiekhane,194,0,87,0,281
amilliewaadia,405,0,303,3,711
aminashervani,792,0,660,90,1542
amineshjain,2289,0,632,2,2923
AmishaModi,832,1,589,13,1435
Amit9716685822,189,0,1191,0,1380
amitabhabagchi,486,1,330,10,827
amitabhdelhi,976,0,64,1,1041
amitabh_pathak,11,0,12,72,95
AmitAsharStudio,2883,0,203,8,3094
amitava8,578,0,1012,3,1593
amitbasole,2095,0,244,200,2539
Amitbhandari110,10753,0,677,2,11432
AmitChandrra,415,0,804,0,1219
AmitDCR,54,0,759,13,826
AmithHegde6,11070,0,41,13,11124
Amitjit79,315,0,272,0,587
amitmajor,420,0,34,3,457
AmitParalympian,3849,0,297,7,4153
amit_agrawal13,1733,0,297,77,2107
amit_azm,422,0,1075,0,1497
amit_prasher1,5520,1,471,4,5996
AmJSurgery,12164,0,333,211,12708
amnamatrafi,361,0,925,2,1288
amnasingh,228,0,857,2,1087
amn_g,310,0,334,4,648
Amolik_Aujla,546,0,823,1,1370
amolmitkari22,119122,1,162,29,119314
amolsharma99,474,0,363,35,872
amor_rb7,160,0,44,0,204
ampareenlyngdoh,3914,0,446,67,4427
AmritSagar,701,0,1060,0,1761
amSunitha,481,0,844,12,1337
Amtrox,508,0,254,23,785
amuarora,369569,0,197,1,369767
amyhodler,1301,0,220,10,1531
amyketu,123,0,674,9,806
AmySatterthwait,11297,0,408,0,11705
amysundae,27356,1,124,121,27602
AM_Deepuuuu,107,0,242,15,364
AnaBotin,49247,0,46,275,49568
anacarla1975,752,0,979,2,1733
anahas8,650,0,608,6,1264
AnaLauraRS,312,0,332,101,745
AnalyticMike,2378,0,41,3,2422
anandahuja,13048,1,393,17,13459
anandiisme,137,0,87,3,227
Anandraipti,2749,0,85,8,2842
anandshukla1987,361,0,102,14,477
anandsinha3,982,0,687,21,1690
anandtiwarics,989,0,1072,13,2074
Anand_datta,1917,0,84,37,2038
ananthan_TOI,86,0,11,0,97
ananthmani,543,0,230,8,781
ananthn1,191,0,915,3,1109
ANANTRAMAN,95,0,713,3,811
anantsudarshan,770,0,400,33,1203
AnanyaPanda,443,0,645,0,1088
ananya_goenka,11483,0,147,13,11643
anchalk,7792,0,355,6,8153
anchorrandeep,162,0,155,5,322
AndersonBrian01,4117,0,220,0,4337
andersoncathl,1045,0,239,2,1286
andi_mtc,19818,0,1551,0,21369
andjanlund,590,0,644,29,1263
andradeandrey,6155,0,312,1,6468
AndreaHawksley,1072,0,412,77,1561
andreas7812,358,0,836,10,1204
andreasartori94,2051,0,387,14,2452
AndreaSmithCLT,4553,0,377,0,4930
andreasomberg,20228,0,369,1,20598
andrea_w3010,1485,0,198,4,1687
