User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
153264772,AaronFinch5,304030564.0,19.164,4.763,4.351,6626.754,1697.68,5.769,0.0
168606635,DaleSteyn62,300376255.0,19.3,9.667,8.643,28615.733,20573.344,5.516,0.0
271690376,glennmcgrath11,278983102.0,15.0,13.127,13.415,1198.712,556.375,1.941,0.0
273557471,root66,278659702.0,10.085,7.01,13.281,7737.924,1196.336,2.574,0.0
45025729,Swannyg66,335753086.0,26.206,13.984,11.897,8523.703,25208.844,15.413,0.0
45452226,henrygayle,335578633.0,34.221,13.18,1.731,39455.147,4734.015,10.19,0.0
92424604,MClarke23,320881900.0,32.554,5.872,6.075,22076.738,2754.369,16.597,0.0
171117515,KP24,299836388.0,80.25,18.2,105.625,296734.188,35389.688,12.625,0.0
84542880,GraemeSmith49,323708597.0,16.28,6.683,6.118,5635.738,12276.238,7.203,0.0
350334760,MahelaJay,267263349.0,27.775,10.423,3.538,14971.175,6244.125,16.861,0.0
409089061,BrettLee_58,259083920.0,22.877,19.863,4.35,23718.192,6506.562,14.014,0.0
87118217,ShaneWarne,322769604.0,53.525,2.103,1.625,52987.034,3916.0,21.068,0.0
256781040,HaydosTweets,281483724.0,12.181,10.387,9.465,3217.385,2394.624,5.969,0.0
263800151,josbuttler,280211670.0,11.631,5.614,15.032,11076.533,6188.543,3.809,0.0
32453930,TigerWoods,340013508.0,8.881,2.56,1.083,47373.68,8242.43,1.761,0.0
42610327,DGoughie,336657614.0,17.382,8.714,67.114,2591.6,4156.257,3.742,0.0
97893963,MichaelVaughan,318769202.0,105.12,27.773,1.167,270682.88,40885.68,41.625,0.0
139876086,ABdeVilliers17,307068555.0,16.211,6.683,8.755,46881.427,6199.5,1.739,0.0
196235064,flintoff11,294303369.0,34.18,17.759,2.27,12469.148,4706.934,18.741,0.0
215138502,darren_lehmann,290380096.0,29.646,28.833,10.047,3915.367,42889.469,21.217,0.0
350224247,KumarSanga2,267277622.0,10.178,8.072,17.485,14674.39,3267.712,2.94,0.0
204002663,StuartBroad8,292658103.0,24.592,11.49,29.58,41930.18,6380.3,11.796,0.0
248883264,benstokes38,282878220.0,17.229,5.634,9.537,26404.202,4576.028,5.597,0.0
127765218,davidwarner31,310071772.0,36.542,19.14,3.05,64353.574,30939.984,14.542,0.0
271292659,Gmaxi_32,279047790.0,16.266,8.009,6.456,10519.821,3583.848,4.429,0.2
343512172,JasonRoy20,268207835.0,19.413,4.52,8.651,6743.934,12507.575,2.65,0.2
45022448,jimmy9,335753858.0,8.434,5.523,14.626,6522.6,2173.426,2.883,0.2
135180139,faf1307,308220109.0,12.06,6.689,13.576,9468.533,1730.942,2.244,0.2
185902260,stevesmith49,296600582.0,13.252,2.455,8.688,10081.302,910.24,2.042,0.2
187890010,Eoin16,296134425.0,10.669,6.609,5.37,4646.438,7095.352,4.811,0.2
210792232,wasimakramlive,291382904.0,8.516,2.5,3.196,30862.429,4012.484,2.469,0.2
219247004,Uz_Khawaja,289403679.0,14.102,2.75,14.375,2189.587,1266.22,1.867,0.4
317708215,JamesFaulkner44,271862235.0,15.331,6.889,14.8,992.294,1469.933,3.509,0.4
1337785291,rogerfederer,214536372.0,14.247,4.84,8.327,191693.263,41294.411,7.684,0.6000000000000001
228299509,tdpaine36,287246238.0,4.558,11.575,14.009,243.319,1101.062,2.377,0.6000000000000001
547922610,AlexHales1,246170952.0,9.965,3.782,37.846,4505.292,2567.708,2.062,1.0
412781038,DavidHussey29,258667858.0,11.226,7.309,5.237,1338.733,695.25,4.097,1.2
242567007,RossLTaylor,284074243.0,9.222,9.024,21.141,2412.288,874.231,1.692,1.4
254783152,chriswoakes,281834396.0,11.463,5.462,7.337,1822.328,3345.176,2.429,1.4
285332860,WayneRooney,276653568.0,13.579,7.204,7.367,83061.837,38895.252,3.158,1.4
842089302,Mitch_Savage,231575256.0,20.237,3.163,31.95,21116.4,5716.4,6.357,2.0
873334429,alanwilkins22,230047975.0,15.5,48.906,36.188,15037.062,116711.75,11.312,2.0
27042513,RealHughJackman,341824490.0,30.36,2.739,6.305,296533.483,36863.371,3.093,3.0
813286,BarackObama,406864295.0,36.368,6.436,4.226,2443208.169,473704.987,2.562,4.0
44196397,elonmusk,336023251.0,7.0,2.0,31.0,2101417.0,194208.0,1.0,4.0
50393960,BillGates,334127750.0,24.638,2.386,2.961,103858.319,33333.75,2.86,4.0
20571756,satyanadella,345669266.0,8.082,5.578,1.889,8389.293,3697.434,3.657,4.0
15469101,EvelynRusli,363687840.0,9.365,2.778,30.863,250.952,239.855,1.829,4.2
23083404,KingJames,343640047.0,29.986,10.507,5.467,1277799.795,285418.247,18.431,4.2
2384071,timoreilly,405038755.0,28.8,44.029,19.743,1734.4,83322.886,20.971,4.2
241654941,Martyguptill,284268987.0,11.5,14.3,14.08,1343.394,418.279,1.52,4.2
261598082,7polly7,280597122.0,9.57,2.541,4.2,1360.496,862.982,2.235,4.2
26565946,jtimberlake,341988550.0,19.175,8.24,8.261,113754.495,48709.076,6.273,4.2
652193,mgsiegler,410988751.0,82.455,99.455,113.0,6065.091,559835.545,45.273,4.2
74130577,emilychangtv,327070437.0,29.935,14.968,8.5,1770.375,13266.688,8.362,4.2
12901712,bchesky,378237908.0,6.947,9.901,21.737,5268.231,16764.519,2.385,4.2
15828408,SusanWojcicki,361420549.0,12.33,3.6,2.39,5747.446,13909.01,5.562,4.2
16246929,danprimack,358832715.0,204.556,87.444,68.667,20909.889,106649.556,43.222,4.2
5252591,bgurley,402991365.0,25.758,22.788,49.636,8114.364,7355.515,22.455,4.2
817288,gaberivera,406748169.0,22.205,1.692,59.974,1752.846,1116.641,9.256,4.2
10078,reidhoffman,418464969.0,13.458,24.012,3.237,1260.429,47824.631,6.5,4.2
5763262,karaswisher,401722058.0,177.25,233.0,401.75,80232.5,299774.0,108.25,4.2
586,sacca,427215251.0,31.125,159.0,215.0,46378.125,1399774.25,64.125,4.2
14130366,sundarpichai,374695687.0,5.702,4.893,2.724,18613.856,8414.082,3.203,4.2
2529971,cdixon,404979120.0,21.158,16.864,19.468,2662.897,19444.485,3.429,4.2
20263710,rabois,346048045.0,36.818,3.125,256.364,12970.091,924.182,26.636,4.2
20348377,jeffweiner,345934644.0,29.588,3.397,5.825,1588.322,1720.467,1.353,4.2
47539748,Bill_Gross,334871106.0,29.338,3.826,12.189,7795.936,3708.397,7.881,4.2
14123683,andy_murray,374751424.0,16.283,3.857,15.933,16136.101,16362.532,1.812,4.4
