Degree,Users-Count,Users
0,33,10188712:11373722:122706390:1307120064:134182545:14092082:145541650:15040988:1689493657:1729936105:20842629:2213365112:2243829872:24112401:2611834718:304150259:3061898660:3094485998:318218531:32623294:328369614:353394176:357839393:3911719575:43831437:441428868:455003792:474948835:50750339:59084417:600584047:81170936:924854030
1,26,106499398:114936799:125733443:1364365273:1712831:1714904610:18662816:189249484:19122675:21189360:215957468:24852465:2507907734:2596145105:295740548:3059859970:33141453:3408650422:354464050:42836999:505516379:545235190:588707774:69436408:75962440:802751
2,27,10326832:1143472657:134054240:158689157:159072934:16485564:19433169:2230417592:2270593045:2302937503:2318252410:24490456:26493787:2745557490:2864117853:3140530768:39330733:399674608:4132841:4405311267:451649471:48631266:521721536:542666345:565919881:625378411:779452
3,16,1306312784:16446177:16493868:178463040:187428929:21948974:2354090707:26090319:2992054909:3397145679:440993196:500849404:607152697:736843656:86742779:89760824
4,24,1059240924:107512859:1085665639:1130156892:130122646:140182966:18619979:20859801:21193650:212009144:2498274386:262909861:26492874:275799277:28059115:295610884:3021340697:35348026:3739172836:417615653:4348237453:515980805:61762271:818238024
5,27,1112722104:14538949:148872468:174972753:17732485:19188399:223165982:2352142008:238346334:2415918252:2483000368:2678072634:274328258:277276900:285509764:293154916:33394729:3374231:344183143:43107557:462104542:477802917:60550677:61228608:70502952:75401545:833988769
6,30,106854950:14429563:145107843:146409066:16579345:176566242:1855763186:22657153:2396677714:245243839:248186795:26149295:28409997:2869103344:309133460:32939851:365822838:366935179:368448364:38592915:47363263:52939106:53085019:55687338:67323353:68418583:794329:817668451:830685463:91798218
7,26,1009269193:107642576:108654496:12692452:14131275:1543121:17444309:184584860:20002401:24167314:26598593:2750127259:29406343:35214545:375246970:39357410:4140881832:51219631:543533194:581123710:606211203:6527972:66388461:73992972:756278:802295798
8,29,105533433:1060487274:1114681081:15361570:162069635:16290599:17399269:19225408:20870409:20963651:2156089227:233386754:2353605901:2401374210:2563909904:31611298:36790140:36935647:377723724:394581283:39710060:4338481:438301250:481461757:610533:835377572:87318558:91942557:932429090
9,27,10064382:1209417007:1284314354:17223098:174736204:20319226:2240432905:24149001:253340075:256360738:259725229:2602158362:27096905:273176656:310172617:366592246:393436815:4274372981:499781930:507672047:524427375:56783491:56864092:63770845:756227808:76722822:92720796
