Degree,Users-Count,Users
0.0,33,10188712:11373722:122706390:1307120064:134182545:14092082:145541650:15040988:1689493657:1729936105:20842629:2213365112:2243829872:24112401:2611834718:304150259:3061898660:3094485998:318218531:32623294:328369614:353394176:357839393:3911719575:43831437:441428868:455003792:474948835:50750339:59084417:600584047:81170936:924854030
2.313,1,18662816
2.387,1,69436408
2.395,1,2596145105
2.787,1,779452
2.791,1,354464050
2.844,1,1364365273
2.995,1,1712831
3.111,1,4132841
3.164,1,159072934
3.217,1,736843656
3.372,1,24852465
3.456,1,521721536
3.688,1,19433169
3.736,1,114936799
3.793,1,42836999
3.798,1,2230417592
3.819,1,21189360
3.863,1,802751
3.899,1,16485564
3.901,1,189249484
3.966,1,505516379
4.026,1,20859801
4.211,1,212009144
4.285,1,24490456
4.569,1,26492874
4.683,1,75401545
4.713,1,417615653
4.715,1,33141453
4.77,1,17732485
4.815,1,125733443
4.859,1,43107557
4.871,1,262909861
4.93,1,75962440
5.086,1,1284314354
5.148,1,3140530768
5.169,1,89760824
5.201,2,140182966:18619979
5.23,1,3059859970
5.234,1,10326832
5.308,1,2869103344
5.41,1,3739172836
5.432,1,39330733
5.448,1,835377572
5.485,1,16446177
5.514,1,2992054909
5.54,1,3367805001
5.562,1,53085019
5.567,1,21948974
5.619,1,60550677
5.688,1,2156089227
5.689,1,2467551354
5.703,1,836279665
5.781,1,33394729
5.828,1,2305002626
5.842,1,21193650
5.882,1,295740548
5.917,1,2450894937
6.001,2,500849404:635604793
6.007,1,1059061369
6.04,1,68418583
6.055,1,3303531875
6.06,1,67323353
6.126,1,3374231
6.127,1,2236298000
6.211,1,28409997
6.289,1,2592160667
6.354,1,377326135
6.403,1,148872468
6.446,1,20870409
6.478,1,2492711598
6.491,1,531346364
6.5,1,107642576
6.593,1,19188399
6.598,1,14429563
6.622,1,61762271
6.696,1,366935179
6.705,1,70502952
6.841,1,817668451
6.987,1,756278
7.017,1,4338481
7.072,1,295610884
7.076,1,12692452
7.125,1,27096905
7.159,1,794329
7.166,1,375246970
7.174,1,588707774
7.184,1,1928909924
7.188,1,32939851
7.218,1,20002401
7.3,1,2549031829
7.307,1,108654496
7.329,1,1543121
7.353,1,16290599
7.363,1,1306312784
7.371,1,477802917
7.4,1,275799277
7.431,1,29406343
7.471,1,14538949
7.613,1,162069635
7.646,1,610533
7.647,1,309669413
7.656,1,174736204
7.68,1,166154241
7.705,1,91942557
7.709,1,135483288
7.75,1,248186795
7.783,1,15361570
7.784,1,424277262
7.8,1,31611298
7.804,1,76722822
7.821,1,3397145679
7.948,1,36790140
8.005,1,55687338
8.027,1,24149001
8.112,1,231756759
8.118,1,56864092
8.142,1,190674658
8.154,1,36571263
8.184,1,20963651
8.185,1,10064382
8.201,1,265099639
8.218,1,20319226
8.223,1,26598593
8.252,1,6527972
8.268,1,625378411
