ID,K_shell_value
100220864,1
10064382,1
10078,1
100866814,1
1009269193,1
10188712,1
10194392,1
102652835,1
103065157,1
10326832,1
1039631064,1
104249727,1
104615636,1
105533433,1
1059061369,1
1059240924,1
1060487274,1
10615232,1
106499398,1
106854950,1
106961801,1
10724012,1
107512859,1
107642576,1
1080509366,1
1085665639,1
108654496,1
1092979962,1
110520327,1
11113,1
1112722104,1
1114681081,1
112897001,1
1130156892,1
11373722,1
11417802,1
1143472657,1
114936799,1
115044590,1
115485051,1
115748075,1
11666142,1
117777690,1
11791512,1
118779247,1
1209417007,1
12131132,1
12199652,1
122706390,1
124335068,1
125270251,1
125733443,1
12692452,1
127765218,1
1284314354,1
12901712,1
130122646,1
1306312784,1
1307120064,1
1330457336,1
1337785291,1
133880286,1
1339835893,1
134054240,1
134182545,1
135180139,1
135483288,1
1364365273,1
1370855934,1
137418466,1
139092348,1
139556944,1
139808713,1
139876086,1
140182966,1
1408142352,1
14092082,1
14123683,1
14130366,1
14131275,1
14150736,1
1417678880,1
14181505,1
14230524,1
14414286,1
14417215,1
14429563,1
144884794,1
145107843,1
14538949,1
14546264,1
145541650,1
14561327,1
146409066,1
14666934,1
14689051,1
14780493,1
148872468,1
14933304,1
15006743,1
1501471,1
15040988,1
15077191,1
151123001,1
15227791,1
152785310,1
153264772,1
15361570,1
153810216,1
1542453360,1
1543121,1
15447522,1
15469101,1
15649438,1
15705567,1
157718652,1
15828408,1
15846407,1
158487331,1
158689157,1
159072934,1
1590754944,1
15958614,1
15959875,1
160952087,1
162069635,1
162124540,1
16246929,1
16290599,1
16388786,1
16395449,1
16409683,1
16446177,1
16485564,1
16493868,1
16579345,1
166154241,1
166739404,1
168606635,1
1689493657,1
16939148,1
17078632,1
1708443876,1
171117515,1
1712831,1
1714904610,1
17223098,1
17298241,1
1729936105,1
173734711,1
173857112,1
17399269,1
17444309,1
174736204,1
174972753,1
175282603,1
176566242,1
1769191,1
17732485,1
178088940,1
178463040,1
179036286,1
17995040,1
181561712,1
18166778,1
18278629,1
18327902,1
183310940,1
184584860,1
1855763186,1
185902260,1
18619979,1
186202772,1
18655567,1
18662816,1
187428929,1
187890010,1
188019606,1
189249484,1
189631331,1
18973501,1
19017675,1
19040598,1
190674658,1
19086859,1
19119809,1
19122675,1
19188399,1
19225408,1
19248106,1
1928909924,1
19318314,1
19394188,1
19418459,1
19433169,1
19563366,1
196235064,1
1969651069,1
19700387,1
19739126,1
19739420,1
19910414,1
19961822,1
19968025,1
19977759,1
20002401,1
20035593,1
202003,1
20263710,1
20319226,1
20348377,1
204002663,1
20571756,1
20713061,1
20842629,1
20859801,1
20870409,1
208996041,1
20963651,1
210792232,1
21189360,1
21193650,1
212009144,1
213745334,1
21384302,1
213969309,1
214201922,1
214413743,1
21447363,1
215138502,1
2156089227,1
215957468,1
216776631,1
216881337,1
216939636,1
217169219,1
21732506,1
217808673,1
219247004,1
21948974,1
21982720,1
22012091,1
220830660,1
22084427,1
2213365112,1
22159580,1
2230417592,1
223165982,1
2236298000,1
2240432905,1
224223563,1
2243829872,1
2244953047,1
225539878,1
22657153,1
2270593045,1
2271025438,1
22790881,1
228299509,1
2293131060,1
22938914,1
229433742,1
22959763,1
2302937503,1
2305002626,1
23083404,1
23151437,1
231756759,1
2318252410,1
23289019,1
233386754,1
23375688,1
23440052,1
2352142008,1
2353605901,1
2354090707,1
23566038,1
2363543587,1
