username,Acquaintance-Affinity-Identification Score AAI(j)
RajAmbedkar650,28787898.58
saloni_dilli,28689942.06
nikhilesh7,28598174.58
manitpradeep007,27368318.35
atulkannaujvi,26354491.59
IAmMohdFarhan,24877860.64
dilnawazpasha,23775313.59
PtRajanSharma,23692775.8
knashok,22476376
flora_2712,22420093.42
NallagatlaPRao7,21757265.73
RahulMaganti,21474746.28
DhanyaThoppil,21375335.87
TheTanayJain,20846127.56
DineshG87963501,20803865.6
SahilnDharia,20332080.99
zafarkara,20169708.82
virendra79,19993807.91
priyankashah92,19985987.63
nandibull,19765343.29
udaynirgudkar,19624216.79
frankhuzur,19533300
ShishirGoUP,19533300
omprakashrjd,19533300
iamvasanth93,13560492.43
rahul_sen,10137927.29
tarun_05,9749471.621
Srinidhi_PR,9060193.846
satishreddy_v,8601925.011
Joy_01,8122485.512
arnavahlu,7654175.419
gautham_009,7640150.285
mahdinmk,7384057.665
anandmamc,7074425.829
prasantpkm,7028819.811
rajdoye,7020694.206
uditprakash,6930316.274
Alok06897183,6843091.98
ashraysood,6821398.778
IndrajitSasmal1,6552349.618
Meenzaa1805,6092536.941
iamhariomsrk,6083432.61
soorajbhalla,5914088.277
AdityaDharFilms,5648199.741
parmeshbk,5583630.247
modiabhishek,5330404.699
Dir_Lokesh,5234193.803
Sree_Vijaykumar,5224484.149
dvsukumar,5147531.48
RohanWalia14,5147380.982
ASHISH225,4550246.653
Sarikaasharma,4529779.034
AwkashGarg,4467767.765
vishalrajfilms,4245718.887
aneeshabaig,4216742.135
rathsandeep,4210170.575
FardeenFKhan,4077543.391
AshokMaruthi,4075474.954
CelinaJaitly,3979480.647
bevyshopping,3953299.927
JitinMakker,3763452.422
golu_a,3747034.307
meghnagulzar,3729868.593
anikgoel,3722273.313
NeilNMukesh,3722273.313
lokeshbherwani,3711548.446
bloggingdock,3587682.919
sanjaykhandduri,3585651.246
jaymendiratta,3567761.28
maanayata_dutt,3561819.258
Fellaini,3399136.862
knowvinay,3159694.137
JesseLingard,3150861.89
youngy18,3147670.253
sundeepkishan,3040160.661
Ronaldo,2993178.102
haristweet,2983116.654
ChrisSmalling,2958888.631
kathakalichanda,2904161.394
angad_virk,2900178.952
RootKanal,2883886.391
tmyerson,2874655.088
cricketnext,2754702.465
kathanmunshi,2635384.098
PankajBhardwajS,2624084.934
hosain,2606721.216
b_kleiban,2585093.839
NEVILLEBRAGANZA,2578856.678
sreewastav,2533469.267
shibangiSR,2274584.845
MarleeMatlin,2062646.535
mayankistwittin,2060029.502
vinaykamat,2019984.074
JohnStamos,1975048.226
TheCriclife,1890929.08
AndhraPradeshCM,1827141.333
SanjivReddi,1827141.333
yogidholakia,1807568.229
imkuldeep18,1792115.693
PrashantJSingh1,1781664.389
kavitarajwade,1627341.479
hodgman,1619508.071
DharaviDiary,1619438.035
Jaspritbumrah93,1609537.8
SteveMartinToGo,1594572.545
BryanCranston,1594531.293
itznehamalik,1576506.601
paulpogba,1558785
SameerSahoo,1544735.905
FancyFootloose,1540167.895
Woslove,1534212.362
andrinhopereira,1476071.723
rohitdbrijnath,1463590.401
sooriofficial,1452328.182
dranujpa,1381226.178
alexia,1361749.794
MehrotraDPT,1343024.281
VarshabenDoshi,1335486.248
mayankcricket,1327289
InfiVivek,1317588.676
dkhos,1296998.014
match_dekho,1293213.863
BeingKohlicious,1254250.819
sherryontopp,1220773.867
GA_offcl,1208091.61
y_umesh,1197091.246
TheSarahLeBlanc,1164394.465
cheteshwar1,1133142.402
rush2yyz,1094206.168
rohanjaitley,1092463.203
masongreenwood,1082103.74
atul_jalan,1055193.934
Nawneet,1045233.427
Zakirism,1016116.025
gregoriklosman,1007281.609
duttsanjay,991424.1334
DebSreeSarkar,969965.3267
TanviSunku,943941.1239
arghya_majila,941769.75
krunalpandya24,825025.5763
rehanasrehman,812801.8811
pushpanarayan,802916.0652
cloud4computing,794062.7698
m2jr,783708.1803
UNDPDC,782292.0893
LazyHippogriff,770177.6517
robmeadows,724374.1295
jnks77,719960.5362
CEFreitagMD,701023.6668
JordiAlba,699003.1593
ivivianrichards,690828.075
Suraj_S3,690828.075
am_aswad,685480.2325
blackrock,676153.1034
pillais,669468.0887
RaviShastriOfc,667049.6874
mertesacker,663978.8922
Gary_Kirsten,662110.4111
vishaltv,661772.9767
hydroweaver,643796.3283
surajdidwania,640519.7107
TanayaRamyani,637504.0676
KotechaDr,636940.0549
davewiner,624265.5258
johndoerr,617296.5809
Sarojayeramilli,609187.4067
sujit_kr_lucky,601146.1767
adamdangelo,586225.2683
TeezaJo,586173.4434
ilyasut,574598.4466
Guiyze,574490.8541
JackWilshere,570775.9386
apurvadesai,554826.4744
bhorowitz,547365.3753
conniechan,529367.9544
binnybansal,513088.8715
Chanakya_7,509844.9013
triptoes,507610.5436
ajinkya78,506263.1707
pschiller,504744.1223
