username,Follower_count(F1),M4,RT3,RP3,Acquaintance_score
gailcollins,63516,0,651803037,5,651866558
rahul_sen,265,0,41776405,191,41776861
andrinhopereira,1097191,3,38940225,7,40037426
RobertIger,243596,4,33209709,63,33453372
aneeshabaig,2386,1,28487856,10,28490253
deepikapadukone,27623138,67,634606,30,28257841
shawndolley,647,0,28034872,41,28035560
PathRuzCaracuel,1073,0,24760720,685,24762478
SopanDeb,175285,0,20440009,35,20615329
BabyBearHS,8221,1,20477245,528,20485995
emelisande,1010452,1,18527445,32,19537930
Director_SEZ,34203,1,19086306,47,19120557
prasoonjoshi_,138682,10,18711690,2,18850384
NarendraPatil63,210,0,18130712,3,18130925
SirBobbyDeol,33619,0,17629409,9,17663037
RobertDowneyJr,17252890,8,14657,78,17267633
tomhanks,16334963,13,311430,40,16646446
BobPickard,93656,0,15529802,8,15623466
Saurabhsays_,428,0,13959128,1,13959557
XabiAlonso,11672984,3,209153,4,11882144
paulpogba,9881722,14,1864397,298,11746431
ck8860,3893,0,11586096,873,11590862
IssaRae,1640569,2,9711799,13,11352383
SeenuMohapatra,923,0,10838818,8,10839749
reba,2340433,0,7828596,7,10169036
mikeflannagan,1795,0,9663961,477,9666233
Persie_Official,9339471,7,33771,1,9373250
NPR,8935647,36,292976,0,9228659
gjmarx,564,0,8955829,16,8956409
SteveMartinToGo,8741870,2,13222,0,8755094
BryanCranston,2189792,4,6111494,11,8301301
Ibra_official,8009772,12,127974,4,8137762
lderevnina,580,0,7885415,153,7886148
surajdidwania,576,0,7733559,1,7734136
icann_president,19621,0,7665525,30,7685176
sbhalla6,323,0,7630218,51,7630592
JordiAlba,2454153,1,4828442,53,7282649
OriolVinyalsML,112404,3,7062612,23,7175042
allenthehun,7989,0,7148172,25,7156186
kcpatelbjpguj,18674,1,6917629,455,6936759
RishabhPant17,3226294,15,3255056,13,6481378
vishalrajfilms,649,0,6439906,3,6440558
governorswaraj,48380,4,6391493,132,6440009
SGanguly99,6196462,39,143412,80,6339993
jimsinai,1965,0,6295204,29,6297198
AdityaDharFilms,19130,6,6231477,4,6250617
smarket,25405,0,6180251,3,6205659
Zakirism,1232041,7,4956332,7,6188387
dannyjeffers,11644,0,5906796,354,5918794
iamjohnoliver,5727182,6,178234,41,5905463
ItamarCareca,10514,0,5787860,13,5798387
DrSailajaK,894,0,5730748,0,5731642
pushpanarayan,2742,2,5699619,370,5702733
menongautham,3665856,7,2019930,133,5685926
Bnassir,808,0,5684107,9,5684924
jeffhiro,2644,0,5452472,5,5455121
uditprakash,11056,1,5355497,4,5366558
Jaspritbumrah93,4776459,24,547838,3,5324324
