Col,range1,range2,range3,range4,range5,range6,range7,range8
Followers,272108.082,36222.318,35787.377,19350.92,10046.491,10765.59,7501.241,7707.245
Following,3712.817,2251.548,1204.478,897.233,696.766,731.489,529.61,439.101
Follower/Following Ratio,30966.814569000006,1633.285548,841.8258349999999,408.211159,190.83355099999997,235.653788,165.48582799999997,391.08934199999993
Total Status,944.514,858.554,865.797,828.643,855.276,838.602,795.803,834.749
Retweet Count,226.069,248.741,248.97,238.457,239.963,232.344,211.607,199.107
Total Favourites,5615.703,3314.43,3229.302,3064.909,2244.58,2972.543,1882.902,2730.074
Avg. Tweet Rate(per Month),10.589531999999998,9.223261999999998,8.388176999999999,9.18921,10.581967,11.240046,13.968347,15.730761000000001
Avg. Retweet Rate(per Month),8.969053,8.462659,8.320463,8.848232,9.012278,9.500905,10.796183999999998,13.940166000000001
Avg. Reply Rate(per Month),8.488115999999998,6.585452,6.1661779999999995,6.374895999999999,7.6242339999999995,6.628508000000001,7.684058,9.411945
Total Normal Tweets,331.783,309.597,302.011,308.675,315.142,325.493,340.505,354.953
Total Retweets,226.069,248.741,248.97,238.457,239.963,232.344,211.607,199.107
Total Replies,155.005,153.388,153.849,151.458,154.414,142.959,135.994,136.955
Total Quotes,64.471,63.611,70.077,60.817,59.654,57.082,41.813,41.211
Avg. Fav Count(per Month),7649.229758,1190.033389,1210.594344,668.9761980000001,470.052068,987.755606,625.2827250000001,969.69368
Avg. Retweeted Count(per Month),14114.306919999999,10461.875625,15783.742939,10563.20714,10941.881253999998,9001.162338,9253.202761,13244.801037000001
Avg. Quote Count(per Month),4.37342,3.374266,3.6195269999999997,3.324137,3.471241,3.4899750000000003,2.926203,3.7742
