Col,range1,range2,range3,range4,range5,range6,range7,range8
Followers,202397.927,67584.841,52945.967,33045.955,15220.872,12117.041,6996.288,9163.868
Following,1168.03,1562.119,1462.302,1469.652,2104.077,1028.005,1041.632,629.081
Follower/Following Ratio,28086.003745000005,2343.782847,1972.7952270000003,618.1099959999999,1123.4735130000001,144.25173900000001,288.213387,237.154694
Total Status,907.355,841.108,874.635,849.956,851.765,841.986,829.544,828.01
Retweet Count,245.275,234.008,251.718,241.7,244.597,244.173,194.915,189.804
Total Favourites,5082.829,2828.236,3351.861,2816.049,2641.657,2302.589,2315.655,3757.55
Avg. Tweet Rate(per Month),10.259615999999998,9.223963,10.5978,9.756960999999999,11.294958,12.008141,12.771249,13.575550999999999
Avg. Retweet Rate(per Month),7.63017,8.442116,9.058755999999999,8.499080000000001,9.795357,10.925847999999998,10.167481,13.107552
Avg. Reply Rate(per Month),8.663999,7.144617,6.772225000000001,5.826767,6.280146,7.908734000000001,8.474325,7.970866
Total Normal Tweets,350.666,309.226,313.953,327.371,323.779,320.308,342.1,310.241
Total Retweets,212.468,244.237,242.092,242.079,244.116,226.783,199.64,227.302
Total Replies,151.346,152.264,146.74,137.282,138.782,150.629,151.849,149.258
Total Quotes,66.149,66.908,64.595,61.059,59.481,54.203,40.647,43.021
Avg. Fav Count(per Month),8802.773927999999,1861.556981,733.91255,872.5722659999998,614.9752139999999,684.0973100000001,147.20389500000002,68.65833900000001
Avg. Retweeted Count(per Month),11599.581378,8579.000634,8954.40401,9369.904285999999,10465.959393,19458.455454,12193.311302999999,12662.678939
Avg. Quote Count(per Month),3.848477,3.4894219999999994,3.9467119999999998,3.306937,3.515786,3.682905,3.0107120000000003,3.3291109999999997
