Col,range1,range2,range3,range4,range5,range6,range7,range8
Followers,374223.328,397.016,464.838,466.421,933.481,1524.892,3556.093,13274.006
Following,2489.594,548.644,620.922,627.899,812.497,946.938,1152.709,2385.96
Follower/Following Ratio,35106.638359,16.249940000000002,3.652253,3.343983,11.103615,7.4276029999999995,47.753598,412.302885
Total Status,814.968,795.262,784.7,809.855,837.326,859.765,916.126,920.851
Retweet Count,206.684,253.294,245.128,245.693,232.614,238.372,221.022,202.003
Total Favourites,3254.366,2968.827,2539.601,2966.273,2628.915,2856.359,2839.318,4220.565
Avg. Tweet Rate(per Month),11.894560000000002,10.199710000000001,10.83308,10.897184000000001,11.004532,10.128003000000001,11.624074,12.606717
Avg. Retweet Rate(per Month),11.599607,11.456301999999999,9.130559,9.459874,9.110201000000002,9.279446,8.960474,8.994597000000002
Avg. Reply Rate(per Month),8.951104,7.083042,5.901097,6.329849,6.797176,6.270915999999999,7.373937,9.480193
Total Normal Tweets,322.577,282.579,310.226,309.091,320.884,326.518,346.313,358.988
Total Retweets,206.684,253.294,245.128,245.693,232.614,238.372,221.022,202.003
Total Replies,154.25,159.256,138.43,138.675,146.519,148.001,145.093,145.071
Total Quotes,50.06,56.945,53.697,55.957,56.177,64.718,60.7,54.803
Avg. Fav Count(per Month),12750.125091,27.524329999999996,26.041119,28.485222,276.18178300000005,87.498447,214.408232,738.3009890000001
Avg. Retweeted Count(per Month),21805.587697,16273.966578000001,10724.022034,10634.791646,9994.465599,7375.690994,7301.063038,8720.03839
Avg. Quote Count(per Month),3.9020510000000006,3.560721,3.047663,3.2786220000000004,3.13633,3.416266,3.705192,3.799195
