Col,range1,range2,range3,range4,range5,range6,range7,range8
Followers,329789.797,29802.572,11772.054,10069.976,7409.088,5672.276,1781.329,3288.188
Following,2265.786,2251.177,1320.518,1234.165,1090.449,982.436,602.983,669.233
Follower/Following Ratio,33291.093400000005,644.626495,144.547621,188.324156,98.680588,298.207592,61.283939,104.87327
Total Status,896.833,865.582,869.777,890.731,829.354,866.434,810.474,780.56
Retweet Count,206.031,243.486,250.993,250.022,233.452,227.791,199.64,227.302
Total Favourites,3591.382,2810.589,3030.017,2978.85,2942.785,3857.053,2565.94,2900.251
Avg. Tweet Rate(per Month),10.694220999999999,9.492492,9.644543,10.634253000000001,11.352829999999999,11.323099999999998,12.771249,13.575550999999999
Avg. Retweet Rate(per Month),8.237741,8.140813,8.871431000000001,8.762281,9.777014,10.562047,10.167481,13.107552
Avg. Reply Rate(per Month),8.200614999999999,7.224094,6.750436,6.237046,6.815662,7.368635,8.474325,7.970866
Total Normal Tweets,356.067,308.292,304.091,325.549,324.55,326.754,342.1,310.241
Total Retweets,206.031,243.486,250.993,250.022,233.452,227.791,199.64,227.302
Total Replies,150.47,154.33,144.715,139.809,141.647,146.072,151.849,149.258
Total Quotes,63.818,66.498,69.043,63.418,55.32,54.298,40.647,43.021
Avg. Fav Count(per Month),9659.920802999999,1595.5222290000002,602.938357,742.6499950000001,645.8347,323.022165,147.20389500000002,68.65833900000001
Avg. Retweeted Count(per Month),9784.338291,9344.828497999999,10089.446123,9875.749287,10128.669564,19204.273391999996,12193.311302999999,12662.678939
Avg. Quote Count(per Month),3.9088760000000002,3.4343109999999997,3.808071,3.378727,3.311842,3.9484120000000003,3.0107120000000003,3.3291109999999997
