Name,ID,Cls-Cent Rank Score
deepikapadukone,101695592,0.373091926
tomhanks,50374439,0.340882824
Malala,937499232,0.334120755
iamjohnoliver,316389142,0.328936658
iamvasanth93,302119623,0.328904462
SGanguly99,2708915372,0.325133279
RobertDowneyJr,47786101,0.323365485
mahdinmk,333240457,0.322496515
sreewastav,2689131,0.320895042
hosain,397673792,0.320298583
Zakirism,386110592,0.319902174
gautham_009,449497624,0.319734758
manitpradeep007,9.89E+17,0.318613041
SteveMartinToGo,14824849,0.317634222
anandmamc,2373806864,0.317244376
dvsukumar,604777606,0.316915254
ilyasut,1720046887,0.316497357
TheTanayJain,48323161,0.316437747
Nawneet,58777193,0.31593197
DharaviDiary,522081194,0.315724179
bhorowitz,16242081,0.315250252
SandeepAgg,19842448,0.314866233
prasantpkm,371385765,0.31374906
Joy_01,27589227,0.313354076
cyalm,43579706,0.312030127
m2jr,6145622,0.31191427
sparker,378223565,0.309800621
pillais,28114525,0.309529517
TanviSunku,429062983,0.309145079
ylogx,141447764,0.309130859
nrbnsntr,2301093404,0.309130859
harari_yuval,8.16E+17,0.309002937
dkhos,41642329,0.308946116
priyankashah92,432916912,0.308421518
rathsandeep,23504037,0.308350763
uditprakash,33897662,0.308237622
iamhariomsrk,4847143994,0.307785888
aneeshabaig,67674032,0.307757699
AwkashGarg,357552052,0.307644993
DhanyaThoppil,47393450,0.307490157
manrajsgrover,75574642,0.306998532
IndrajitSasmal1,9.17E+17,0.306942447
trufelman,1528307430,0.306886382
pbmehta,50973651,0.306606363
modiabhishek,113289246,0.306312893
nikhilesh7,65045892,0.306089673
SahilnDharia,945579668,0.30600605
tarun_05,141908389,0.305964255
angad_virk,526119794,0.305672013
soorajbhalla,78523311,0.305477494
Meenzaa1805,401530524,0.305463609
RajAmbedkar650,1.06E+18,0.305449726
alexia,18327902,0.305200039
hydroweaver,54828331,0.304964599
flora_2712,1253481727,0.304301783
SakshiMalik,7.28E+17,0.303779093
duttsanjay,149198901,0.303655561
NallagatlaPRao7,7.96E+17,0.303449897
kathakalichanda,149150516,0.3033951
rahul_sen,66617865,0.30314876
rush2yyz,243564692,0.30302574
saloni_dilli,97429653,0.302943782
itznehamalik,1320746534,0.302930127
MehrotraDPT,95641263,0.302289712
FardeenFKhan,82949914,0.301990872
AnamZille,9.17E+17,0.301584315
vishaltv,229732987,0.30153019
DebSreeSarkar,9.32E+17,0.301354418
Alok06897183,1.05E+18,0.301259856
kavitarajwade,118982386,0.30101697
TheBeerAnkur,84018979,0.300895674
Sarikaasharma,55808072,0.3008014
ashraysood,115311180,0.300666825
knashok,61393482,0.300666825
arnavahlu,107059055,0.300626476
sandeepm1,14472220,0.300357759
senaparna,115878136,0.300290655
LazyHippogriff,119291459,0.300129728
gitagovinda,16610022,0.300035933
surajdidwania,148849891,0.299955584
