Name,User Id,User Rank(In),In-Degree,Out-Degree
deepikapadukone,101695592,18.02195322,1025,0
iamjohnoliver,316389142,2.132481902,358,0
tomhanks,50374439,1.5523742,418,1
RobertDowneyJr,47786101,1.228222586,298,1
SGanguly99,2708915372,0.65442807,346,5
VinceMcMahon,1222639789,0.609879401,19,0
DarrylHudspeth,436061114,0.372727183,171,10
Ibra_official,461922813,0.363492159,91,0
Persie_Official,230845588,0.344132603,116,8
sherryontopp,1320600308,0.305885098,202,7
SteveMartinToGo,14824849,0.303475531,203,2
Wangchuk66,122706519,0.269853987,156,1
Mayawati,1.04851E+18,0.26108079,139,0
duttsanjay,149198901,0.250182826,255,2
y_umesh,321866313,0.248545913,152,3
udaykotak,2572981626,0.23961123,196,0
cheteshwar1,309824558,0.190706267,154,3
shwetasinghkirt,106805025,0.170229412,45,0
paulpogba,2491702663,0.169826855,60,1
Jaspritbumrah93,8.5872E+17,0.156612212,141,2
Zakirism,386110592,0.154697682,117,17
RishabhPant17,7.30375E+17,0.150822002,96,4
amlahash,466882955,0.147723027,102,7
MirYanaSY,1.1003E+18,0.146627297,11,3
XabiAlonso,183387449,0.146040678,65,10
GulzarPoetry,388272261,0.144974833,114,1
bhorowitz,16242081,0.128357118,321,12
Malala,937499232,0.127760789,207,5
pbmehta,50973651,0.126449376,240,19
AndhraPradeshCM,2687516120,0.125257606,103,5
MahuaMoitra,426431202,0.11818973,169,0
ysjagan,2965511647,0.115987836,98,1
SakshiMalik,7.28173E+17,0.106548864,128,3
BhimBassi,4378724419,0.096887359,59,2
menongautham,443041852,0.096410534,87,0
PIBFactCheck,1.20763E+18,0.092522759,47,0
imkuldeep18,2440051333,0.092112413,73,9
RaviShastriOfc,8.07776E+17,0.091897056,92,5
90sWWE,9.81274E+17,0.091523485,18,1
MishiAmit,138330579,0.090777602,86,0
CalumChambers95,1673820865,0.085550551,13,3
ashulazy8,1594425288,0.083333333,1,11
harari_yuval,8.16291E+17,0.082138255,173,0
Nher_who,7.88999E+17,0.080627668,55,2
IssaRae,78525538,0.080238894,71,4
sussannekroshan,114501238,0.073114816,113,2
mornemorkel65,175298380,0.072678585,111,5
ilyasut,1720046887,0.071807699,154,36
aroonpurie,2791245386,0.071182059,136,0
OriolVinyalsML,3918111614,0.069576347,215,2
senaparna,115878136,0.068636676,89,2
Cyberdost,9.70592E+17,0.065613371,95,2
kalikapg,3030620959,0.063692274,14,17
Gary_Kirsten,301440887,0.060900908,97,4
governorswaraj,9.93899E+17,0.060167592,26,0
prasoonjoshi_,3459977360,0.057390141,64,1
adamdangelo,10476462,0.056961981,64,27
year_progress,3233484298,0.056773212,68,0
imrealasim,1.17864E+18,0.05545003,14,0
DipaKarmakar,7.65006E+17,0.055159644,119,2
Sagnaofficial,243175199,0.055092744,16,4
skilledinodisha,7.2732E+17,0.053539293,41,0
DAVID_LYNCH,15962096,0.052437954,91,0
StephanKast,457364105,0.051990568,52,0
LifeMathMoney,9.97367E+17,0.051710207,72,1
MichaelaCoel,71093106,0.050888746,27,0
rohitkbansal,50941565,0.050636814,115,6
sparker,378223565,0.04933744,125,13
Pallamrajumm,1154869812,0.048010717,29,0
SamNasri19,230567975,0.04784745,23,4
SadhviPragya_MP,1.11899E+18,0.045681042,27,0
GloriaSteinem,48269483,0.045439203,73,1
JordiAlba,2239961994,0.04541892,16,4
binnybansal,9251312,0.045411012,101,6
Sah75official,150429478,0.043873815,47,3
ManushiChhillar,1167873806,0.043483131,72,0
YashwantSinha,8.56531E+17,0.043203826,75,0
ConorMurrayYT,287261295,0.043112801,18,16
_OlivierGiroud_,620034505,0.04284517,24,2
PrashantJSingh1,539251486,0.04261162,15,30
wefollow,18498684,0.042038001,52,0
eveewing,19166519,0.041298501,99,8
kcpatelbjpguj,602569722,0.040944965,18,0
FELS_SubCon,1.19858E+18,0.04,1,1
SteveAngello,21568477,0.039739263,24,2
Julian,293815131,0.03958462,72,1
fadnavis_amruta,7.11545E+17,0.039575328,39,0
stephen_wolfram,31586578,0.038648019,55,0
MagnusCarlsen,30352096,0.038213219,62,3
_Pedro17_,403580183,0.036990605,14,2
ChandrakalaIas,3557050932,0.036507344,56,0
AnandSharmaINC,8.61893E+17,0.035507979,60,0
meghnagulzar,40200685,0.035492364,76,4
Alexis_Sanchez,1610646036,0.03542495,26,3
MadhusudanKela,2613083048,0.033851859,32,1
anilmdave,258264925,0.033618611,39,0
PankajBhardwajS,4666947618,0.033335099,1,17
cyalm,43579706,0.033047293,38,24
ZellnerLaw,347320239,0.032571625,20,4
GurpreetGhuggi,145976579,0.032430447,26,0
shabszzzz,9.55218E+17,0.03237334,3,3
PrakarshGagdani,137369756,0.032027287,20,3
MickJagger,234053160,0.031983857,38,1
BryanCranston,80096621,0.031003676,49,2
GaryJCahill,1653237805,0.030691088,15,6
HALHQBLR,8.74585E+17,0.030652456,17,0
michelleisawolf,267856525,0.030176611,43,3
alexstamos,41603960,0.030150893,132,26
SandeepAgg,19842448,0.029117334,80,16
aviralbhat,7.78433E+17,0.029083124,35,1
AuthorDanBrown,817845968,0.028246454,24,1
azharflicks,167751947,0.028225145,41,1
FoodGravy,3020958360,0.028203042,18,17
deeptisawhney,308335486,0.028017657,40,76
TK_Tejan,147414502,0.027600546,7,32
clubhack,14918089,0.027600033,40,12
Vineeth_Sree,1394204198,0.027568643,16,6
SHABIRAHLUWALIA,1892921766,0.027523122,11,2
johndoerr,22255654,0.027518841,140,12
Andy_Plays_,9.28012E+17,0.027382622,3,5
VanzaraDg,4136066179,0.027355001,16,0
kumaarofficial,3508020494,0.027212908,10,1
AmitTanejaBJP,322782509,0.027204432,10,9
proownezyt,7.74751E+17,0.027140173,2,0
WasimJaffer14,1.09814E+18,0.027052592,50,13
mertesacker,142730813,0.027036741,19,8
MD_Mistry,2415472651,0.026664524,22,1
FardeenFKhan,82949914,0.026069118,71,4
atulpti,315019279,0.025992688,5,16
DBT_NCCS_Pune,3383974053,0.025833347,67,9
spielvercom,3024008653,0.025726258,43,3
AshutoshTewarri,1678605432,0.02567295,1,1
B_Pramanik,2529924452,0.025616775,7,5
hdmoore,15590090,0.025497513,134,2
mcjnicholas,1582583419,0.025240149,14,1
VetriMaaran,100775570,0.02482498,28,0
danieldennett,997629601,0.02470537,81,2
Grewal2025,3384073804,0.024519276,9,0
Nav_or_never,461339056,0.024390296,2,8
dkroy,30569817,0.024344066,19,3
ShyamRangeela,8.50344E+17,0.024147894,48,5
SsSukham,4708506588,0.023962562,4,1
RobertIger,8.23307E+17,0.023748615,48,3
adamgopnik,48354754,0.023667285,12,3
MatthewWade13,129375242,0.023647174,43,3
MrAncelotti,444838837,0.023484645,29,0
GrigorDimitrov,48348735,0.023418037,19,1
SebastianThrun,318063815,0.023414523,116,0
karthik_econ,1437659089,0.023029368,81,6
AnnapurnaBJP,538276313,0.022718106,6,0
ajaypatnaik,32495176,0.022706705,2,5
GKangInd,2160899318,0.022641881,75,2
Story_Baba,1261687555,0.022430272,13,2
rohitredz,2311821522,0.022218989,4,2
RishiSunak,1.16897E+18,0.022207251,41,0
IamSandraOh,1888149452,0.022079486,32,1
StanfordHAI,1.06722E+18,0.021952794,64,3
djones_75,367844103,0.02174715,1,3
AtifahArmaan,1.08632E+18,0.021746585,1,3
johnplattml,2573466488,0.021675923,103,6
AbhaySChautala,7.79282E+17,0.021638974,17,0
PhilJackson11,1260366252,0.02099306,18,0
ttovino,1951703334,0.020779698,15,3
ciphr,14795902,0.020691946,3,11
jeremybking,16204998,0.020660894,9,7
VijaySethuOffl,1.00208E+18,0.020522834,43,0
MIAuniverse,23859156,0.020409091,29,1
agulati115,2476895522,0.020307063,33,2
jejefanai,1941250380,0.020058169,40,4
Fellaini,411469404,0.02003635,39,23
AshutoshTewar15,9.64104E+17,0.020022248,1,1
patcummins30,552632832,0.020016725,46,8
s_qamarzaman,8.18918E+17,0.019996913,6,0
amiasrinivasan,14651591,0.019757183,37,6
Yusuffali_MA,319485914,0.019677979,13,0
SavarnaThings,8.63287E+17,0.019518879,45,1
FootyRankings,9.32503E+17,0.019502194,4,0
KPSouthDiv,8.07586E+17,0.019501692,15,0
NashFargo,772026852,0.019342295,56,7
TracyMorgan,80700514,0.019340958,50,2
IGIBSocial,3249492476,0.019230931,59,10
iamigorl93,235590201,0.018991515,18,0
SanjivReddi,9.1233E+17,0.018887534,2,1
BookWritten,2353849639,0.01887315,16,8
haveibeenpwned,2191981764,0.018801528,57,0
DuteeChand,2252236556,0.018794173,38,2
shimon8282,721931072,0.018708746,59,10
alexia,18327902,0.018646341,81,52
payatulabs,8.70742E+17,0.018602775,45,20
TerribleMaps,1663172653,0.018572382,49,4
aprameya,32337871,0.018540404,30,3
darshanabaruah,44874620,0.018503736,10,13
harrizbennyy,1.12312E+18,0.01848979,4,7
stratechery,1233663476,0.018460137,108,0
paperbasedbooks,965531444,0.018413328,7,4
shivkunalverma,514846120,0.018299479,3,0
dindaashoke,321887255,0.018222189,53,7
kishore_biyani,140534955,0.018154303,36,4
AnalyticsJamie,2521030569,0.017982915,75,18
DeepakBagla_,7.78836E+17,0.017967728,16,1
daschowdhurysus,116674810,0.017857143,1,4
IndianCERT,7.37259E+17,0.01781263,29,0
dcprohinidelhi,8.53857E+17,0.017610697,6,2
DirKrish,3169077625,0.017570058,19,2
ubethke,34905590,0.017436562,33,10
ikpeden,3670556712,0.017386164,24,20
Neeraj_chopra1,8.70957E+17,0.016946823,40,1
khan_zafarul,47139757,0.016524179,15,0
khuri8,101602274,0.01650421,20,14
vikasbajaj,33338729,0.016499313,45,19
DavidJVanBergen,221242193,0.016494867,14,7
RajeshHon1,4737799939,0.016393443,1,3
Umeshnni,1649603582,0.01627756,21,2
ginakolata,82683644,0.016271598,22,1
PaddyUpton1,546033211,0.0162076,24,3
RGWayanadOffice,1.03937E+18,0.016154004,19,1
manasvivi,2189851814,0.016151258,9,11
lakshmipratury,9531622,0.016074278,19,4
kennethdalglish,214153705,0.016039493,24,4
SantoshKMall1,8.89373E+17,0.015943497,11,0
IndiaHealthWise,9.54332E+17,0.015937811,20,2
MiloVentimiglia,31949107,0.015912074,27,8
justsaysinmice,1.11666E+18,0.015907877,40,0
abowie917,972128660,0.015890506,1,1
Ken_Bone,76737198,0.015873016,1,0
WendyFrankelMD,7.10179E+17,0.015857901,73,7
AmitabhBachan,23047158,0.015839318,29,0
LisaClontz,2786992461,0.015723528,4,8
nirahua1,755585124,0.015717239,16,1
Shuklamondalbjp,9.88411E+17,0.015715263,4,3
arjitaneja,1462520892,0.01566167,8,2
dogecoin,2235729541,0.015640733,15,0
LiladharVaghela,560397986,0.015618996,20,2
ssyips,3257611375,0.015554723,15,3
meamabhishek,563487757,0.015503457,25,5
kroordarshan,1.25839E+18,0.015447168,15,0
VirgilvDijk,395305090,0.015257774,30,8
AdamSandler,316756361,0.015239902,37,2
VijooKrishnan,1.00327E+18,0.015191771,25,24
shaheenmistri,263014197,0.015078544,49,4
eberger45,33280746,0.014999367,3,5
Steviegrieve,413509852,0.014931646,36,46
atul_jalan,3502852284,0.01487726,27,54
kansalrohit69,7.31118E+17,0.014771546,27,6
ShahbazAnsar_,2910117595,0.014690374,40,14
ReheSamay,9.88532E+17,0.01468663,22,3
gaurikhan,8.3036E+17,0.014536401,27,0
RamNiwasGoelAap,2918503062,0.014476364,12,3
richabarhat,2610270384,0.014437997,4,9
itsmedevanand,219705027,0.014329859,21,0
dasgobardhan,2835516871,0.014329805,19,14
LaghateParth,2896293786,0.014293905,8,0
MeCookieMonster,2372164754,0.014243961,33,0
Philae2014,208442526,0.014237481,39,1
smolix,14986849,0.014158767,73,2
tdbgoi,3312962712,0.014152035,28,41
TrentAA,2371991585,0.014120066,27,4
TheVivaanShah,2282022638,0.014110832,10,1
RepAOC,1.0791E+18,0.014073204,20,0
SuelynMedeiros,121174507,0.014065556,8,0
VC_NALSAR,2331578142,0.01401127,24,4
krunalpandya24,120785508,0.013917468,37,4
AtharvaTapkir,7.0179E+17,0.013898427,1,1
GokuMohandas,3259586191,0.013897031,28,4
nayisadak,2886257225,0.013890657,22,1
DanishKaneria61,7.12551E+17,0.013579677,19,19
SDG4QEducation,9.43005E+17,0.013562977,28,32
DrManishDiwan,9.76492E+17,0.013489035,22,0
tceb62,18743550,0.013449764,32,0
Krishna4Mathura,1.23439E+18,0.013443555,7,0
scouttanmay,1644204476,0.013423514,9,2
rodneyabrooks,743452002,0.013422363,53,0
dkhos,41642329,0.013398893,96,13
OpenGov44,24752484,0.013386228,37,1
chrsnthn,1172194489,0.013338087,1,4
mayankcricket,8.48162E+17,0.013336093,51,6
parul8ue,15364101,0.013320934,10,15
LiquidHearth,2280525847,0.013310207,17,0
CDSCO_INDIA_INF,8.18519E+17,0.013269163,20,0
attackresearch,18647059,0.01320745,51,6
kimstar33,79712173,0.013174764,8,11
vamsichada,73767658,0.013161806,1,5
Yash_Narvekar92,8.39037E+17,0.013150587,2,2
nanopolitan,24324277,0.013144318,8,10
3RakeshMishra,2852855478,0.013130537,29,0
DGP_FIRE,3305761934,0.013056577,16,1
TVFPitchers,3071282773,0.012969849,19,5
